Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Sublette County, WY",Jan-20,$200K,-17.60%,-28.60%,9,-35.70%,200.00%,9,50.00%,80.00%,52,0.00%,20.90%,163,-65,106,,,
"Sublette County, WY",Feb-20,$203K,1.30%,6.90%,6,-33.30%,-33.30%,5,-44.40%,-50.00%,48,-7.70%,0.00%,103,-60,-138,94.10%,,7.30%
"Sublette County, WY",Mar-20,$225K,10.90%,-5.50%,5,-16.70%,-44.40%,11,120.00%,-31.30%,52,8.30%,-7.10%,113,10,-86,,,
"Sublette County, WY",Apr-20,$215K,-4.20%,-37.10%,9,80.00%,50.00%,14,27.30%,-26.30%,57,9.60%,-16.20%,173,60,21,,,
"Sublette County, WY",May-20,$302K,40.50%,-13.50%,6,-33.30%,-33.30%,17,21.40%,54.50%,66,15.80%,-1.50%,285,112,228,,,
"Sublette County, WY",Jun-20,$265K,-12.30%,20.50%,11,83.30%,-35.30%,21,23.50%,31.30%,74,12.10%,10.40%,130,-155,21,,,
"Sublette County, WY",Jul-20,$295K,11.40%,12.80%,25,127.30%,150.00%,26,23.80%,73.30%,76,2.70%,5.60%,84,-46,-82,85.10%,,-3.00%
"Sublette County, WY",Aug-20,$420K,42.40%,22.60%,13,-48.00%,62.50%,22,-15.40%,214.30%,89,17.10%,27.10%,145,61,68,,,
"Sublette County, WY",Sep-20,$270K,-35.80%,30.00%,26,100.00%,225.00%,11,-50.00%,57.10%,75,-15.70%,4.20%,81,-64,-255,,,
"Sublette County, WY",Oct-20,$299K,10.90%,-8.60%,33,26.90%,106.30%,17,54.50%,70.00%,58,-22.70%,-13.40%,94,13,-76,95.80%,,-1.90%
"Sublette County, WY",Nov-20,$360K,20.40%,24.60%,12,-63.60%,-25.00%,12,-29.40%,50.00%,59,1.70%,-1.70%,99,5,-41,,,
"Sublette County, WY",Dec-20,$267K,-25.80%,10.10%,14,16.70%,0.00%,9,-25.00%,50.00%,55,-6.80%,5.80%,113,14,-115,105.90%,,
"Sublette County, WY",Jan-21,$295K,10.50%,47.60%,13,-7.10%,44.40%,12,33.30%,33.30%,55,0.00%,5.80%,100,-13,-63,100.00%,-5.90%,
"Sublette County, WY",Feb-21,$330K,11.70%,62.70%,8,-38.50%,33.30%,16,33.30%,220.00%,64,16.40%,33.30%,118,18,15,,,
"Sublette County, WY",Mar-21,$245K,-25.60%,9.10%,13,62.50%,160.00%,13,-18.80%,18.20%,63,-1.60%,21.20%,102,-16,-11,93.30%,,
"Sublette County, WY",Apr-21,$350K,42.90%,62.80%,19,46.20%,111.10%,18,38.50%,28.60%,63,0.00%,10.50%,87,-15,-86,75.80%,-17.60%,
"Sublette County, WY",May-21,$305K,-12.90%,1.00%,11,-42.10%,83.30%,9,-50.00%,-47.10%,60,-4.80%,-9.10%,113,26,-172,,,
"Sublette County, WY",Jun-21,$300K,-1.70%,13.20%,16,45.50%,45.50%,22,144.40%,4.80%,65,8.30%,-12.20%,83,-30,-47,98.50%,,
"Sublette County, WY",Jul-21,$375K,24.90%,26.90%,20,25.00%,-20.00%,13,-40.90%,-50.00%,58,-10.80%,-23.70%,79,-4,-5,97.90%,-0.60%,12.70%
"Sublette County, WY",Aug-21,$325K,-13.40%,-22.70%,24,20.00%,84.60%,19,46.20%,-13.60%,56,-3.40%,-37.10%,95,16,-50,96.60%,-1.20%,
"Sublette County, WY",Sep-21,$375K,15.40%,39.00%,14,-41.70%,-46.20%,13,-31.60%,18.20%,55,-1.80%,-26.70%,83,-12,2,,,
"Sublette County, WY",Oct-21,$279K,-25.60%,-6.90%,17,21.40%,-48.50%,9,-30.80%,-47.10%,46,-16.40%,-20.70%,69,-14,-25,,,
"Sublette County, WY",Nov-21,$279K,0.30%,-22.40%,12,-29.40%,0.00%,5,-44.40%,-58.30%,38,-17.40%,-35.60%,85,16,-14,,,
"Sublette County, WY",Dec-21,$375K,34.20%,40.50%,14,16.70%,0.00%,3,-40.00%,-66.70%,27,-28.90%,-50.90%,128,43,15,,,
"Sublette County, WY",Jan-22,$398K,6.10%,34.90%,8,-42.90%,-38.50%,6,100.00%,-50.00%,25,-7.40%,-54.50%,106,-22,6,,,
"Sublette County, WY",Feb-22,$298K,-25.10%,-9.60%,9,12.50%,12.50%,4,-33.30%,-75.00%,22,-12.00%,-65.60%,172,66,54,100.00%,,
"Sublette County, WY",Mar-22,$280K,-6.20%,14.10%,10,11.10%,-23.10%,16,300.00%,23.10%,30,36.40%,-52.40%,73,-99,-29,103.80%,3.80%,10.50%
"Sublette County, WY",Apr-22,$307K,10.00%,-12.20%,10,0.00%,-47.40%,10,-37.50%,-44.40%,30,0.00%,-52.40%,46,-27,-41,,,
"Sublette County, WY",May-22,$550K,78.90%,80.30%,5,-50.00%,-54.50%,17,70.00%,88.90%,42,40.00%,-30.00%,71,25,-42,75.60%,,
"Sublette County, WY",Jun-22,$550K,0.00%,83.50%,15,200.00%,-6.30%,12,-29.40%,-45.50%,36,-14.30%,-44.60%,68,-3,-15,,,
"Sublette County, WY",Jul-22,$399K,-27.50%,6.50%,13,-13.30%,-35.00%,13,8.30%,0.00%,38,5.60%,-34.50%,76,8,-3,104.50%,,6.60%
"Sublette County, WY",Aug-22,$380K,-4.80%,17.00%,9,-30.80%,-62.50%,20,53.80%,5.30%,47,23.70%,-16.10%,76,0,-19,,,
"Sublette County, WY",Sep-22,$619K,63.00%,65.30%,12,33.30%,-14.30%,11,-45.00%,-15.40%,46,-2.10%,-16.40%,55,-21,-28,,,
"Sublette County, WY",Oct-22,$305K,-50.70%,9.50%,14,16.70%,-17.60%,11,0.00%,22.20%,42,-8.70%,-8.70%,63,8,-6,,,
"Sublette County, WY",Nov-22,$358K,17.50%,28.20%,6,-57.10%,-50.00%,3,-72.70%,-40.00%,39,-7.10%,2.60%,119,56,34,,,
